country,total_earnings,player_count,game,game_earnings
China,330911684.75,9333,Dota 2,86327573.44
United States of America,299584469.30,29198,Fortnite,52369833.18
South Korea,156871749.12,5963,League of Legends,41645617.74
Russia,96100531.48,5860,Dota 2,42494496.56
Brazil,72383381.53,5954,Rainbow Six Siege,13311887.49
Denmark,64098932.78,2200,Counter-Strike: Global Offensive,23097482.88
France,61493308.66,6594,Counter-Strike: Global Offensive,9837046.88
Sweden,58542964.68,3353,Dota 2,19451066.03
Germany,52913505.33,6912,Dota 2,11761651.15
Canada,50500991.72,4361,Fortnite,9174904.96
United Kingdom,49752457.80,5672,Fortnite,8783157.13
Japan,41279519.52,3982,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,5800971.79
Ukraine,40457094.01,1716,Dota 2,23674247.49
Australia,34420778.50,4579,Dota 2,8037226.70
Finland,34088281.30,2213,Dota 2,17476715.63
Poland,31813513.43,3124,Counter-Strike: Global Offensive,8379347.80
Thailand,31119861.22,2309,Arena of Valor,7319551.96
Philippines,26950408.12,1914,Dota 2,12061324.48
Malaysia,23222167.88,1715,Dota 2,14376781.97
Taiwan,22986486.55,1720,League of Legends,5975442.71
Indonesia,21749545.61,2650,Free Fire,5106526.21
Vietnam,19750508.43,2789,Arena of Valor,5040274.48
Netherlands,19150731.37,2237,Fortnite,3549767.69
Spain,16576102.25,2893,League of Legends,1608951.90
Saudi Arabia,15405371.83,1662,Rocket League,4240042.95
Turkey,14738901.59,1729,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3761651.81
Norway,13920063.65,1419,Fortnite,3375189.68
Mexico,10881604.30,1587,Fortnite,2200247.12
Argentina,10836545.05,1577,Fortnite,2642240.03
Israel,10676989.51,306,Dota 2,6574066.65
Bulgaria,10456884.71,449,Dota 2,6116714.25
Peru,9735803.21,725,Dota 2,8034846.28
Jordan,9685991.92,167,Dota 2,8575391.65
Italy,8367174.27,1745,Fortnite,880703.40
Estonia,7861666.53,369,Dota 2,4347152.40
Singapore,7827281.81,1208,Dota 2,2793685.08
India,7804372.32,1637,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3843448.97
Pakistan,7099498.40,439,Dota 2,4785715.26
Czech Republic,6936458.15,1293,Counter-Strike: Global Offensive,1271161.95
Kazakhstan,6675830.16,844,Counter-Strike: Global Offensive,3301917.92
Austria,6520375.48,745,Fortnite,3844467.67
Romania,6399873.43,686,Dota 2,2808712.09
Slovakia,6317617.23,398,Dota 2,2963487.02
Belgium,6188053.06,988,League of Legends,1049436.82
Mongolia,6041914.22,326,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2837996.17
Portugal,6039354.95,1224,Counter-Strike: Global Offensive,981914.68
Lebanon,5769096.31,123,Dota 2,4992703.41
Hong Kong,5357027.12,714,Fortnite,1245534.74
Belarus,5190573.97,437,Dota 2,2291314.61
North Macedonia,4566035.79,93,Dota 2,3678870.30
Serbia,4484144.50,444,Fortnite,2121053.98
Bosnia and Herzegovina,3797052.68,89,Counter-Strike: Global Offensive,2080849.26
Chile,3770236.48,916,VALORANT,905418.32
Switzerland,3488520.94,731,Fortnite,2059315.97
Slovenia,3429442.44,186,Fortnite,2139445.80
Latvia,3415143.74,367,Counter-Strike: Global Offensive,1414586.90
Egypt,3250508.62,342,CrossFire,1038263.63
Greece,2838143.30,550,Dota 2,1277589.85
New Zealand,2696723.23,476,Fortnite,781506.10
Lithuania,2652667.24,429,Counter-Strike: Global Offensive,707904.22
Hungary,2647040.12,777,Counter-Strike 2,511585.03
South Africa,2374848.17,860,Counter-Strike: Global Offensive,1020902.50
Armenia,2261090.83,56,Dota 2,1406297.55
Croatia,2199322.53,330,League of Legends,723534.89
Morocco,2077728.20,224,Rocket League,986161.32
Macao,1819458.11,37,Dota 2,1336593.81
Nepal,1685473.25,171,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1626521.14
Moldova,1648296.89,82,Dota 2,1250106.81
Myanmar,1580633.38,278,Mobile Legends: Bang Bang,755090.60
Kyrgyzstan,1542137.48,110,Dota 2,1283877.61
Iraq,1535870.96,158,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1200851.54
Ireland,1486317.00,366,Fortnite,260021.98
Colombia,1422218.21,424,Free Fire,213374.07
Uzbekistan,1266185.35,207,Dota 2,512051.16
Dominican Republic,1237782.01,133,Street Fighter V,268835.20
Puerto Rico,1117735.57,156,NBA 2K20,250000.00
Uruguay,1068214.95,173,Counter-Strike: Global Offensive,147793.06
United Arab Emirates,1054513.80,278,Street Fighter 6,318403.00
Bolivia,1051982.46,72,Dota 2,958755.28
Cambodia,899777.15,247,Mobile Legends: Bang Bang,498772.65
Iran,880340.77,170,Chess.com,379426.81
Algeria,847862.33,137,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,234443.68
Kuwait,787334.18,216,Rainbow Six Siege,198065.93
Azerbaijan,676434.77,112,chess24,295261.50
Georgia,674674.06,123,PLAYERUNKNOWN’S BATTLEGROUNDS,344693.10
Cuba,667406.19,51,Fortnite,275833.34
Syria,573387.51,64,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,300824.11
Kosovo,553451.17,72,Counter-Strike: Global Offensive,377651.80
Guatemala,535422.07,57,Counter-Strike 2,278401.67
Bahrain,531236.46,58,Fortnite,344065.00
Montenegro,488035.70,19,Counter-Strike: Global Offensive,386656.12
Venezuela,469677.61,205,League of Legends,60648.11
Tunisia,421066.06,116,League of Legends,165174.37
Lao,357908.04,109,Dota 2,276831.63
